finger_app-1  | 2025-08-18 19:02:58,063 DEBUG: [asyncio_0] Heartbeat enviado para o servidor 7
finger_app-1  | 2025-08-18 19:03:00,615 INFO: [MainThread] Servidores online: 7 de 7
finger_app-1  | 2025-08-18 19:03:00,616 DEBUG: [MainThread] Servidor 1 (10.11.1.0): Processando 12 streams, CPU: 46.8%, Mem: 55.7%
finger_app-1  | 2025-08-18 19:03:00,616 DEBUG: [MainThread] Servidor 2 (172.19.0.2): Processando 12 streams, CPU: 72.4%, Mem: 60.6%
finger_app-1  | 2025-08-18 19:03:00,616 DEBUG: [MainThread] Servidor 3 (172.24.0.2): Processando 13 streams, CPU: 72.5%, Mem: 56.0%
finger_app-1  | 2025-08-18 19:03:00,617 DEBUG: [MainThread] Servidor 4 (172.20.0.2): Processando 12 streams, CPU: 15.9%, Mem: 56.3%
finger_app-1  | 2025-08-18 19:03:00,617 DEBUG: [MainThread] Servidor 5 (172.21.0.2): Processando 12 streams, CPU: 55.8%, Mem: 57.8%
finger_app-1  | 2025-08-18 19:03:00,617 DEBUG: [MainThread] Servidor 6 (172.22.0.2): Processando 13 streams, CPU: 61.7%, Mem: 55.9%
finger_app-1  | 2025-08-18 19:03:00,617 DEBUG: [MainThread] Servidor 7 (172.23.0.2): Processando 12 streams, CPU: 16.5%, Mem: 55.9%
finger_app-1  | 2025-08-18 19:03:59,074 INFO: [asyncio_0] Conectando ao banco PostgreSQL: 104.234.173.96:5432/music_log (usuário: postgres)
finger_app-1  | 2025-08-18 19:04:09,087 ERROR: [asyncio_0] Erro operacional ao conectar ao banco: connection to server at "104.234.173.96", port 5432 failed: timeout expired
finger_app-1  | 
finger_app-1  | 2025-08-18 19:04:09,087 ERROR: [asyncio_0] send_heartbeat [thread]: Não foi possível conectar ao DB.
finger_app-1  | 2025-08-18 19:05:10,136 INFO: [asyncio_2] Conectando ao banco PostgreSQL: 104.234.173.96:5432/music_log (usuário: postgres)
finger_app-1  | 2025-08-18 19:05:12,086 DEBUG: [asyncio_2] Conexão ao banco de dados estabelecida com sucesso!
finger_app-1  | 2025-08-18 19:05:13,196 DEBUG: [asyncio_2] Heartbeat enviado para o servidor 7
finger_app-1  | 2025-08-18 19:06:14,223 INFO: [asyncio_0] Conectando ao banco PostgreSQL: 104.234.173.96:5432/music_log (usuário: postgres)
finger_app-1  | 2025-08-18 19:06:16,195 DEBUG: [asyncio_0] Conexão ao banco de dados estabelecida com sucesso!
finger_app-1  | 2025-08-18 19:06:17,275 DEBUG: [asyncio_0] Heartbeat enviado para o servidor 7
finger_app-1  | 2025-08-18 19:07:18,328 INFO: [asyncio_2] Conectando ao banco PostgreSQL: 104.234.173.96:5432/music_log (usuário: postgres)
finger_app-1  | 2025-08-18 19:07:20,260 DEBUG: [asyncio_2] Conexão ao banco de dados estabelecida com sucesso!
finger_app-1  | 2025-08-18 19:07:21,341 DEBUG: [asyncio_2] Heartbeat enviado para o servidor 7
finger_app-1  | 2025-08-18 19:07:34,475 DEBUG: [MainThread] Erros persistentes encontrados (> 10 min): ['Banda B FM - Curitiba/PR', '97']
finger_app-1  | 2025-08-18 19:07:35,687 ERROR: [MainThread] Erro ao enviar e-mail de alerta: (535, b'5.7.8 Username and Password not accepted. For more information, go to\n5.7.8   98e67ed59e1d1-32330fc986asm12277687a91.14 - gsmtp')
finger_app-1  | 2025-08-18 19:07:35,688 WARNING: [MainThread] Alerta enviado para erros persistentes: ['Banda B FM - Curitiba/PR', '97']
finger_app-1  | 2025-08-18 19:07:50,962 INFO: [MainThread] Conectando ao banco PostgreSQL: 104.234.173.96:5432/music_log (usuário: postgres)
finger_app-1  | 2025-08-18 19:07:52,921 DEBUG: [MainThread] Conexão ao banco de dados estabelecida com sucesso!
finger_app-1  | 2025-08-18 19:08:00,653 INFO: [asyncio_2] Conectando ao banco PostgreSQL: 104.234.173.96:5432/music_log (usuário: postgres)
finger_app-1  | 2025-08-18 19:08:02,407 DEBUG: [asyncio_2] Conexão ao banco de dados estabelecida com sucesso!
finger_app-1  | 2025-08-18 19:08:03,910 INFO: [MainThread] Servidores online: 3 de 7
finger_app-1  | 2025-08-18 19:08:03,911 DEBUG: [MainThread] Servidor 1 (10.11.1.0): Processando 12 streams, CPU: 49.2%, Mem: 56.5%
finger_app-1  | 2025-08-18 19:08:03,911 DEBUG: [MainThread] Servidor 3 (172.24.0.2): Processando 13 streams, CPU: 15.5%, Mem: 56.5%
finger_app-1  | 2025-08-18 19:08:03,911 DEBUG: [MainThread] Servidor 7 (172.23.0.2): Processando 12 streams, CPU: 21.4%, Mem: 56.8%
finger_app-1  | 2025-08-18 19:08:22,358 INFO: [asyncio_0] Conectando ao banco PostgreSQL: 104.234.173.96:5432/music_log (usuário: postgres)
finger_app-1  | 2025-08-18 19:08:24,301 DEBUG: [asyncio_0] Conexão ao banco de dados estabelecida com sucesso!
finger_app-1  | 2025-08-18 19:08:25,379 DEBUG: [asyncio_0] Heartbeat enviado para o servidor 7
finger_app-1  | 2025-08-18 19:09:26,421 INFO: [asyncio_2] Conectando ao banco PostgreSQL: 104.234.173.96:5432/music_log (usuário: postgres)
finger_app-1  | 2025-08-18 19:09:28,148 DEBUG: [asyncio_2] Conexão ao banco de dados estabelecida com sucesso!
finger_app-1  | 2025-08-18 19:09:29,233 DEBUG: [asyncio_2] Heartbeat enviado para o servidor 7
finger_app-1  | 2025-08-18 19:10:30,280 INFO: [asyncio_2] Conectando ao banco PostgreSQL: 104.234.173.96:5432/music_log (usuário: postgres)
finger_app-1  | 2025-08-18 19:10:31,692 DEBUG: [asyncio_2] Conexão ao banco de dados estabelecida com sucesso!
finger_app-1  | 2025-08-18 19:10:32,481 DEBUG: [asyncio_2] Heartbeat enviado para o servidor 7
finger_app-1  | 2025-08-18 19:11:33,542 INFO: [asyncio_0] Conectando ao banco PostgreSQL: 104.234.173.96:5432/music_log (usuário: postgres)
finger_app-1  | 2025-08-18 19:11:35,005 DEBUG: [asyncio_0] Conexão ao banco de dados estabelecida com sucesso!
finger_app-1  | 2025-08-18 19:11:35,780 DEBUG: [asyncio_0] Heartbeat enviado para o servidor 7
finger_app-1  | 2025-08-18 19:12:36,824 INFO: [asyncio_2] Conectando ao banco PostgreSQL: 104.234.173.96:5432/music_log (usuário: postgres)
finger_app-1  | 2025-08-18 19:12:38,231 DEBUG: [asyncio_2] Conexão ao banco de dados estabelecida com sucesso!
finger_app-1  | 2025-08-18 19:12:38,920 DEBUG: [asyncio_2] Heartbeat enviado para o servidor 7
finger_app-1  | 2025-08-18 19:12:53,501 INFO: [MainThread] Conectando ao banco PostgreSQL: 104.234.173.96:5432/music_log (usuário: postgres)
finger_app-1  | 2025-08-18 19:12:54,908 DEBUG: [M
